"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006516,,309,,1,3,0,2,4,1,1,5,4,4,4,2,2,3,8,1,2,7,1,4,1,2,11,3,10,7,6,3,3,2,2,5,4,4,1,1,0,4,5,4,1,6,5,3,5,6,2,4,7,6,8,5,4,3,4,2,4,7,3,5,2,5,7,3,2,4,3,3,3,2,3,5,5,4,3,3,4,5,2,2,2,1,0,2,0,2,0,2,0,0,3
S01006517,,517,,2,6,2,7,6,5,11,9,11,6,4,9,5,3,7,6,9,10,2,2,0,2,5,8,7,6,3,0,0,2,7,3,8,5,8,1,4,11,7,6,9,6,9,6,3,3,8,7,8,6,7,14,11,9,8,12,11,12,5,9,3,6,8,9,12,7,6,3,6,8,5,4,6,7,5,5,2,3,7,2,2,0,1,3,0,5,5,2,3,1,3
S01006518,,353,,3,2,4,0,2,5,4,4,4,2,6,1,10,7,7,4,9,0,1,0,0,2,3,3,4,5,0,1,0,1,4,1,2,2,5,5,4,1,4,4,3,4,1,10,5,2,7,3,7,4,7,6,14,9,4,2,7,11,4,6,3,2,5,8,9,4,6,2,5,7,4,8,1,7,5,2,4,5,1,3,0,3,2,1,3,6,2,1,0,0,2
S01006519,,473,,1,3,2,5,4,3,7,7,5,3,8,10,3,7,6,3,14,4,3,5,9,5,5,4,8,6,6,3,5,3,4,5,3,3,3,6,5,8,10,6,6,8,6,7,10,11,9,9,10,8,7,6,7,9,10,3,2,8,8,11,9,5,2,4,6,5,7,7,8,4,1,7,5,7,1,1,2,1,2,3,0,1,3,1,1,3,2,1,1,1,7
S01006520,,400,,5,3,4,2,5,6,5,8,9,8,10,7,10,10,13,5,7,11,3,2,3,1,2,2,4,4,1,1,1,1,4,3,5,2,1,4,3,9,5,8,8,11,17,5,8,9,7,12,14,11,4,8,8,6,11,9,6,4,2,1,5,3,3,2,3,1,2,2,6,4,0,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
S01006521,,396,,3,4,0,4,7,12,1,8,3,6,6,7,6,0,2,6,5,4,5,0,1,6,2,9,6,8,8,5,3,2,4,4,1,7,7,4,6,5,8,5,9,3,7,9,7,7,10,3,5,7,11,4,15,6,8,3,6,3,1,8,10,9,2,6,2,7,7,3,3,2,1,3,1,1,2,3,1,3,1,3,0,0,0,1,0,1,1,0,0,1,0
S01006522,,320,,2,4,4,5,9,3,9,7,0,4,5,5,2,3,3,3,7,3,5,0,8,0,0,6,1,1,3,0,0,3,5,1,6,0,3,4,7,8,2,7,2,4,6,8,8,1,5,4,8,2,2,4,7,3,7,9,3,4,8,3,4,4,5,3,2,7,4,3,2,4,1,5,3,1,4,3,1,2,3,2,1,4,0,1,2,2,0,0,1,0,0
S01006523,,529,,6,9,4,9,3,10,5,6,9,4,8,4,5,7,7,8,4,4,5,5,5,3,5,5,16,8,10,4,8,6,5,0,4,7,4,6,1,7,7,9,3,6,8,11,4,4,5,4,4,10,5,5,7,8,12,10,6,5,12,8,5,1,5,3,2,5,6,4,10,7,3,5,2,8,5,8,2,10,4,3,7,3,5,5,6,2,5,3,3,5,8
S01006524,,560,,7,3,3,1,4,2,4,7,5,4,3,8,4,1,4,3,7,1,5,7,5,9,10,8,8,5,4,4,8,7,4,1,6,7,8,2,5,6,12,8,5,9,7,5,11,9,5,3,7,8,15,2,8,11,8,10,7,5,3,10,3,7,7,6,4,3,11,3,6,5,6,5,7,6,1,4,10,4,9,7,11,4,2,8,5,2,9,16,7,1,23
S01006525,,453,,1,3,3,2,9,6,5,7,7,5,4,8,4,8,6,5,9,4,4,2,0,0,0,5,7,4,4,6,0,3,2,3,3,11,0,4,7,4,2,4,9,6,2,13,5,7,11,7,8,5,5,8,5,3,3,4,8,10,4,6,7,4,3,6,4,6,3,5,6,5,10,1,6,5,6,6,1,2,8,5,9,3,4,5,7,5,4,4,2,4,7
