"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,FEMALES,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006525,,399,,5,4,1,4,6,4,6,5,3,5,3,3,5,3,7,5,2,4,1,4,1,4,0,5,3,1,1,1,5,3,0,2,3,3,3,1,5,5,4,13,8,6,9,7,9,4,6,8,5,4,7,6,10,8,4,7,7,4,3,6,4,8,4,7,8,6,11,3,6,5,7,5,4,2,6,5,7,3,5,3,5,1,3,4,0,1,1,0,0,3,1
S01006526,,467,,6,3,1,2,2,9,3,2,2,2,3,2,0,2,3,2,10,6,4,11,18,12,15,14,9,8,12,11,6,4,11,5,7,3,2,5,7,11,1,5,0,3,2,8,3,3,5,2,10,5,9,12,6,5,8,6,10,2,2,7,3,2,5,4,1,3,2,7,3,8,3,3,7,2,3,1,3,4,5,5,1,5,5,1,4,3,4,3,5,4,9
S01006527,,351,,4,2,3,8,0,5,8,4,3,2,4,5,1,6,3,2,6,5,4,6,1,10,0,10,12,8,4,5,4,1,2,3,2,4,3,2,8,2,8,8,7,2,5,7,4,1,4,4,6,8,5,4,4,6,3,3,3,5,4,4,1,3,3,5,2,2,5,0,3,4,3,3,4,7,4,3,1,1,5,2,3,3,2,2,3,0,0,1,4,0,5
S01006528,,544,,7,4,4,6,6,4,7,6,7,5,4,2,5,3,7,0,4,7,10,15,19,11,10,13,14,18,9,4,13,11,13,7,4,7,8,3,6,1,6,4,10,4,3,5,7,10,8,8,8,4,5,7,4,7,2,5,9,3,8,7,7,2,5,7,4,5,4,6,4,9,9,6,3,5,8,5,4,7,1,5,3,1,4,2,2,1,2,2,1,1,1
S01006529,,442,,2,13,8,5,7,5,4,1,1,3,2,3,2,4,6,1,4,6,11,3,9,19,14,5,3,17,14,11,13,9,5,3,6,5,5,6,2,3,2,4,6,1,6,4,1,3,5,8,4,1,6,4,2,7,3,4,9,2,3,1,5,6,3,2,3,1,4,2,4,1,1,5,4,5,5,3,2,3,5,6,6,7,9,6,0,1,2,3,1,1,10
S01006530,,392,,2,3,3,4,1,0,0,2,2,2,1,4,3,0,5,2,4,1,1,8,10,7,10,17,9,7,3,7,2,6,8,3,5,5,3,4,6,4,2,7,4,1,3,8,3,3,5,5,7,6,9,7,5,9,7,7,5,6,7,6,8,5,7,2,10,5,2,2,6,3,6,3,4,3,0,5,1,3,6,0,2,0,7,3,3,1,2,4,0,0,3
S01006531,,478,,5,3,6,2,2,3,1,5,5,8,2,1,4,3,5,8,6,6,9,7,15,15,20,9,6,12,8,5,10,5,5,5,4,5,6,4,8,8,5,11,4,3,6,8,9,3,5,6,4,3,10,10,2,5,3,6,6,3,0,6,7,4,7,7,5,2,5,1,5,3,1,2,2,4,7,5,6,2,4,5,3,4,4,4,7,3,0,3,1,2,4
S01006532,,370,,4,4,2,4,7,4,5,2,2,3,3,3,1,2,3,0,1,5,1,3,7,0,1,3,0,2,3,3,5,2,7,6,9,2,7,0,3,6,4,7,5,2,3,6,4,5,4,4,7,5,5,5,6,4,4,3,5,4,6,3,6,2,2,4,8,2,3,5,4,7,3,8,2,3,3,5,2,7,2,3,7,5,6,8,3,4,3,2,3,4,18
S01006533,,375,,5,5,5,3,4,2,5,1,3,1,2,4,4,7,6,5,2,11,4,6,3,3,3,3,4,4,2,0,5,3,3,3,7,4,5,8,3,9,6,5,4,2,8,6,5,9,2,7,2,8,7,7,5,8,8,11,6,5,3,4,7,6,4,6,2,2,3,3,1,5,1,3,6,4,4,2,1,0,5,2,6,4,1,2,4,0,3,2,1,0,0
S01006534,,477,,4,7,6,8,7,6,8,12,10,4,7,4,5,6,3,6,6,3,3,5,2,0,4,2,11,5,5,3,6,8,6,10,3,9,5,10,8,7,2,8,9,10,13,5,5,7,11,5,6,9,4,5,13,10,7,3,5,9,5,4,3,3,4,6,8,3,5,1,7,5,5,1,4,0,3,4,3,2,3,6,3,2,5,1,1,2,6,1,0,1,0
