"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006516,,298,,3,0,2,3,2,0,4,3,3,4,1,3,2,8,1,2,5,0,4,4,2,11,4,8,9,7,3,3,2,2,5,3,5,1,1,0,2,4,3,1,5,4,3,5,5,2,3,7,6,10,4,4,3,4,2,4,8,3,4,2,5,7,3,2,4,3,3,3,2,3,5,5,4,3,3,4,5,2,2,2,1,0,2,0,2,0,2,0,0,0,3
S01006517,,524,,4,0,6,6,6,11,8,11,8,3,8,5,3,6,6,9,10,6,5,0,2,4,9,6,4,4,2,0,4,4,3,5,2,8,3,5,12,7,7,9,5,8,6,4,2,11,7,9,6,7,14,10,9,9,12,11,12,5,9,3,5,8,8,12,7,6,3,6,8,5,4,6,9,5,5,2,3,7,2,4,0,2,3,2,5,5,2,5,1,1,3
S01006518,,348,,0,4,0,2,5,4,4,5,2,6,1,10,7,7,3,8,0,1,1,2,2,5,3,4,3,0,0,0,0,5,1,2,2,4,4,4,2,3,5,2,5,1,10,5,2,7,3,7,4,6,6,12,8,4,2,6,11,4,6,3,2,5,8,10,5,6,2,5,7,4,8,1,7,5,2,4,5,1,3,0,4,3,2,3,6,2,1,0,0,1,1
S01006519,,469,,2,1,4,3,3,5,6,5,3,9,9,3,5,8,4,14,4,9,3,9,4,5,2,10,5,7,2,6,2,3,3,2,3,3,6,3,8,9,6,6,5,5,6,8,10,9,10,12,8,6,6,8,10,10,3,3,8,10,13,10,5,2,4,7,5,7,7,8,4,2,7,5,7,1,1,2,1,2,3,0,1,3,1,1,3,2,1,1,1,1,10
S01006520,,389,,2,3,3,5,6,3,7,8,7,9,8,9,9,14,5,9,12,4,3,3,0,1,2,4,5,2,1,1,1,4,3,4,2,1,3,3,8,4,6,7,11,15,4,9,9,7,11,15,10,5,8,8,7,12,10,6,5,2,2,5,3,3,1,3,1,2,2,6,4,0,2,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
S01006521,,392,,4,0,5,5,13,1,8,4,5,6,7,5,1,2,7,5,5,9,5,1,6,2,7,7,8,8,5,3,3,4,3,1,4,6,4,6,7,7,4,7,2,6,9,8,6,7,4,5,7,11,6,15,6,8,4,6,5,1,6,10,8,2,5,2,6,7,2,3,2,1,3,1,1,2,2,1,3,1,3,0,0,0,1,0,1,1,0,0,1,0,1
S01006522,,329,,5,4,6,8,4,9,7,1,4,5,5,2,3,4,3,7,4,5,1,7,0,0,3,1,2,3,1,2,3,5,2,9,0,3,3,8,8,1,7,2,4,6,7,8,1,5,4,8,2,2,4,6,2,7,9,3,4,8,3,5,4,5,3,2,7,4,3,2,4,1,7,3,1,4,3,1,2,3,2,1,4,0,1,2,2,1,0,1,1,0,0
S01006523,,512,,7,4,7,2,8,7,6,9,5,10,5,4,6,7,7,5,5,8,5,5,0,3,6,14,6,5,3,8,7,3,1,4,5,4,7,3,6,6,7,6,8,7,9,4,4,5,2,3,10,5,4,7,9,11,9,8,4,12,8,5,3,5,3,2,5,6,5,10,7,3,5,2,6,5,9,3,10,4,3,7,3,6,4,6,2,5,3,3,6,2,9
S01006524,,553,,2,3,1,5,1,5,4,5,3,4,9,3,3,4,3,6,2,5,7,4,7,7,6,8,8,2,5,9,5,6,1,5,7,8,2,4,6,12,5,4,9,8,6,11,9,6,3,8,8,14,1,9,10,7,10,6,4,5,11,4,6,8,7,4,4,11,4,5,5,6,5,7,6,1,4,11,5,7,7,13,4,2,8,6,2,8,15,7,2,5,23
S01006525,,440,,3,1,1,8,4,5,7,7,5,4,7,4,7,4,4,7,4,7,2,1,0,0,5,7,3,3,7,1,3,0,3,4,8,0,4,6,4,3,1,9,5,2,10,6,7,10,7,7,5,5,8,5,3,4,4,7,10,4,7,7,3,3,6,4,6,3,5,6,7,11,3,6,5,7,6,1,2,8,5,9,3,4,5,6,5,4,4,3,5,2,7
S01006526,,469,,6,4,5,4,1,2,2,4,8,5,2,3,2,2,1,1,3,3,2,9,10,13,18,6,9,16,8,7,13,11,12,6,9,14,6,6,2,3,6,6,12,4,7,0,2,1,8,3,4,5,0,9,6,9,10,3,4,7,6,8,3,3,7,3,2,6,2,1,3,2,8,3,8,4,2,8,1,2,2,3,4,4,5,1,4,3,2,2,2,0,11
S01006527,,345,,1,2,8,0,2,2,8,2,2,7,5,2,2,5,5,2,5,2,1,4,2,1,8,1,11,2,9,12,5,8,2,5,3,5,2,5,3,4,2,7,2,8,4,8,3,5,8,4,2,4,4,4,7,5,5,6,7,3,5,3,5,3,4,2,3,2,4,3,3,6,0,3,3,2,3,4,7,3,3,1,1,3,1,1,3,1,0,2,0,0,8
S01006528,,555,,6,7,4,8,5,6,8,4,2,7,7,7,6,5,2,6,4,6,2,7,11,17,14,18,5,14,18,15,18,10,11,17,8,10,6,8,8,10,3,4,1,4,2,8,5,3,5,6,9,6,6,8,2,5,9,3,6,2,5,9,3,5,5,7,2,4,6,4,1,4,6,4,7,7,5,2,5,9,4,2,7,1,3,0,1,3,2,2,1,2,3
S01006529,,452,,6,9,2,1,10,8,3,5,2,2,1,2,0,1,3,2,2,5,2,6,8,21,3,13,25,11,5,10,15,16,9,13,11,5,4,8,5,6,7,0,5,5,0,6,0,6,4,2,2,5,6,6,0,7,3,1,6,3,4,10,3,4,0,5,8,4,1,4,2,5,2,5,1,1,3,4,5,5,4,2,2,5,4,4,4,9,3,0,0,1,4
S01006530,,410,,4,4,2,1,7,4,3,3,1,0,3,4,3,2,5,3,0,5,4,5,8,4,14,9,4,16,15,5,7,4,9,4,9,8,5,3,1,2,5,3,3,2,6,4,0,4,8,4,3,5,4,7,7,9,8,5,9,6,9,4,5,7,5,6,5,5,3,10,4,1,2,4,3,5,3,4,3,0,5,2,2,3,0,1,1,6,4,1,0,1,4
S01006531,,486,,3,4,6,3,0,4,5,3,2,1,5,5,9,2,2,2,3,5,12,9,11,8,12,20,22,22,8,7,6,6,9,7,7,3,5,7,6,8,2,9,6,3,10,3,4,4,8,9,3,5,6,4,2,10,7,2,4,3,7,7,3,0,4,7,4,4,6,5,3,5,1,5,3,0,1,2,4,7,5,5,1,3,5,3,4,2,2,8,3,0,4
S01006532,,417,,3,1,1,4,2,2,5,6,4,6,0,4,2,3,3,1,2,1,0,1,3,3,5,7,2,6,5,2,3,0,7,7,3,6,6,6,1,10,1,5,4,5,9,5,3,3,4,3,3,6,4,6,5,7,5,5,4,4,3,7,5,6,3,6,2,3,3,8,2,3,5,4,10,3,10,2,5,2,4,2,8,3,3,5,7,8,9,12,5,7,28
