"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006521,,330,,5,5,2,2,3,4,5,5,3,14,4,6,3,3,4,2,3,5,2,2,4,2,5,4,2,1,3,2,1,1,2,8,1,6,0,2,6,8,2,4,3,2,5,6,7,13,7,10,6,6,7,5,6,5,10,4,3,7,2,6,6,5,6,7,6,3,5,3,2,2,2,4,1,4,1,0,0,1,0,0,1,0,2,0,1,2,0,0,0,0,0
S01006522,,273,,5,6,6,3,4,2,7,4,2,4,3,3,2,4,4,4,5,4,5,5,1,0,3,1,0,2,0,2,1,0,2,2,2,4,4,2,5,8,4,2,8,4,5,2,6,6,2,7,1,9,2,4,4,5,5,4,3,4,4,3,9,5,0,4,3,3,1,1,1,3,2,0,0,1,4,6,2,0,1,3,2,2,0,1,1,0,0,0,0,0,3
S01006523,,448,,3,5,4,9,1,4,8,2,4,5,7,3,10,4,8,10,5,8,7,5,0,2,5,5,5,8,7,4,9,5,2,3,3,2,2,5,0,5,7,5,4,6,12,3,7,7,8,9,2,11,7,8,9,8,14,6,7,6,6,6,8,1,11,5,5,6,8,5,2,3,4,2,2,4,4,3,2,4,3,1,2,2,2,4,3,2,2,2,1,0,3
S01006524,,454,,4,4,7,3,0,6,3,3,5,1,3,10,7,3,9,11,8,7,4,8,6,3,4,6,3,7,5,4,1,5,12,0,4,0,6,2,5,4,4,4,8,6,0,5,3,10,5,9,7,6,4,8,8,6,8,5,6,8,12,10,5,7,8,3,5,9,1,4,4,7,5,5,1,3,7,6,3,1,3,2,5,4,4,3,4,4,2,4,0,3,7
S01006525,,374,,6,3,7,0,0,2,7,1,3,0,2,6,5,9,6,11,6,8,2,0,7,7,5,4,3,6,4,4,1,1,2,3,1,3,0,1,0,2,3,3,4,8,4,9,3,7,4,5,3,6,8,7,9,5,3,3,8,4,4,4,5,9,5,5,6,8,4,1,8,7,4,2,5,3,5,7,2,7,2,1,7,5,4,2,2,0,2,2,0,0,2
S01006526,,434,,3,3,6,12,4,5,2,1,3,2,3,3,4,5,4,4,8,5,5,5,14,13,13,8,14,13,16,9,10,8,7,4,6,4,10,4,5,7,7,1,6,7,3,1,6,5,3,3,4,7,5,5,4,5,9,3,3,7,3,5,3,0,3,5,3,3,8,1,3,0,2,3,2,1,4,1,1,5,2,7,2,3,3,1,2,1,0,1,1,1,8
S01006527,,308,,3,4,6,2,7,3,7,5,0,4,4,1,4,5,2,2,3,6,8,2,5,6,5,1,11,2,0,6,2,0,5,6,1,7,2,3,6,2,3,2,4,1,4,3,8,7,6,3,3,7,4,3,7,4,2,2,3,6,7,4,9,7,6,2,3,5,2,2,2,1,3,1,3,0,1,0,2,4,2,0,2,3,0,1,2,0,2,1,0,0,1
S01006528,,488,,5,4,5,5,4,6,10,4,2,3,4,6,2,6,7,3,6,9,6,5,9,16,12,9,18,15,13,18,3,6,8,5,5,11,12,9,6,3,4,4,4,7,4,2,7,8,2,11,7,6,5,11,3,4,7,4,6,1,6,5,3,2,5,4,4,0,2,5,2,2,4,2,11,3,8,7,4,1,2,4,2,2,2,0,0,1,3,2,2,0,1
S01006529,,441,,5,2,2,0,3,3,0,6,2,2,4,2,1,2,4,2,2,0,4,3,12,10,12,8,15,14,8,10,10,12,18,12,12,8,1,9,5,9,5,12,7,7,4,6,6,6,3,6,5,13,5,6,7,3,10,4,1,2,5,2,4,10,2,5,5,2,3,6,3,2,5,2,2,4,2,1,3,1,3,2,0,5,1,1,1,1,1,2,1,0,2
S01006530,,362,,3,4,0,2,2,1,0,2,2,4,4,4,1,5,4,3,4,5,2,4,11,12,6,14,6,12,16,8,5,6,6,4,5,9,1,7,4,6,7,6,3,6,3,5,2,4,4,4,1,6,6,6,3,10,5,4,9,3,2,2,4,5,5,4,5,3,3,5,1,5,2,5,2,2,1,3,0,0,1,4,2,0,2,0,1,0,1,0,1,0,0
S01006531,,474,,5,1,6,6,6,2,9,2,4,4,2,3,11,6,6,4,7,5,10,3,7,15,10,12,14,14,12,8,8,8,2,7,7,14,8,9,3,9,4,2,5,8,5,4,9,5,4,5,8,4,3,7,4,2,9,4,3,4,3,1,10,6,6,5,3,6,7,3,2,2,3,3,4,6,2,4,3,2,3,3,4,5,3,2,2,1,0,1,0,0,1
S01006532,,387,,4,3,5,3,4,2,6,5,1,3,4,2,6,1,1,4,7,6,1,2,9,10,7,8,4,4,6,4,6,3,2,6,7,3,0,6,2,10,6,8,9,5,2,4,4,12,5,6,5,5,7,5,6,4,7,4,4,4,3,6,1,7,4,3,2,6,2,3,5,4,4,6,5,4,5,1,1,1,4,3,1,4,1,0,2,1,1,6,2,0,10
S01006533,,363,,5,5,8,5,4,3,1,3,7,2,4,4,2,4,6,3,10,3,0,2,2,2,6,7,4,5,2,6,2,5,0,3,4,1,6,5,5,9,6,3,8,6,0,4,4,9,6,8,8,4,9,3,4,7,7,8,6,5,6,12,4,4,4,7,1,3,3,5,3,6,3,2,2,2,3,3,1,3,1,3,1,2,0,2,1,2,1,1,1,0,1
S01006534,,452,,6,2,7,7,7,4,6,5,4,4,6,4,4,6,3,8,3,7,3,3,2,4,4,5,3,3,8,7,3,2,6,9,6,10,10,7,8,4,5,8,8,8,7,13,9,8,7,9,14,7,6,6,5,6,8,7,7,4,4,3,4,5,7,8,4,8,3,2,2,2,5,4,5,3,4,4,0,4,1,1,3,4,2,1,0,1,2,1,2,0,1
S01006535,,545,,5,3,2,4,4,8,7,7,2,5,0,4,2,3,3,2,6,7,5,8,8,15,3,8,13,22,19,16,21,18,20,23,11,11,4,10,10,11,10,9,10,8,10,12,6,2,2,3,13,8,5,5,5,7,9,8,5,10,7,2,2,4,4,1,6,3,4,2,2,4,2,2,0,3,3,1,4,2,4,3,0,0,0,0,0,0,1,1,0,1,0
S01006536,,508,,7,9,2,5,4,4,4,1,4,0,0,1,2,2,4,2,5,4,1,2,4,11,7,16,23,20,16,24,13,18,21,22,13,11,20,6,7,6,7,7,7,5,8,12,5,5,6,4,9,1,6,2,5,7,1,6,8,9,5,2,3,0,4,2,4,7,3,4,5,3,3,4,2,3,3,2,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1
S01006537,,372,,3,7,4,5,6,3,4,3,3,1,7,3,2,6,6,4,4,3,4,4,5,1,4,4,8,3,4,1,1,3,2,3,3,3,3,4,4,3,6,5,6,6,9,8,2,6,2,5,8,4,5,9,5,7,5,7,5,4,2,4,4,6,3,5,7,4,5,5,4,1,6,6,4,5,8,2,6,1,3,4,3,2,6,5,2,0,1,2,1,0,0
S01006538,,270,,2,1,5,6,3,1,7,1,6,2,2,3,2,1,1,2,2,3,2,4,3,5,4,1,5,1,2,2,0,2,1,6,0,2,3,2,9,5,4,0,6,4,2,4,2,2,6,1,4,6,3,4,4,5,6,3,7,2,7,2,0,3,3,2,5,7,5,3,4,1,4,0,1,4,1,2,2,2,7,5,4,4,3,0,1,2,0,1,0,0,1
S01006539,,351,,5,5,4,4,2,3,1,4,3,5,3,4,3,5,6,4,3,5,4,0,2,4,3,1,5,3,2,2,4,2,6,3,3,3,6,3,5,8,6,5,10,4,6,3,3,8,2,7,5,6,3,4,0,10,4,8,7,5,8,3,7,5,2,5,8,4,4,4,3,2,3,3,5,4,0,2,4,4,5,5,1,2,2,1,3,0,0,1,0,1,6
S01006540,,454,,5,6,5,5,2,6,5,4,3,3,2,0,4,4,4,4,1,3,3,3,7,3,3,7,7,7,6,9,10,5,6,5,7,11,10,7,14,6,13,8,4,11,7,2,5,5,0,7,12,6,3,7,10,9,7,8,7,1,6,9,10,6,5,3,7,7,4,2,3,4,1,4,3,3,4,4,0,2,1,2,3,2,4,3,4,5,0,5,0,1,3
S01006541,,376,,2,9,5,4,4,4,6,3,1,4,4,5,4,2,5,2,3,1,3,2,2,1,2,3,5,3,3,0,5,2,7,6,3,8,2,3,11,11,6,7,8,6,3,5,4,3,7,4,3,5,5,2,7,5,4,3,5,3,9,7,2,7,4,4,6,6,1,2,2,2,2,3,8,1,3,3,7,1,1,3,5,4,5,5,5,1,4,1,3,3,11
S01006542,,456,,8,1,7,5,4,2,0,3,3,3,8,5,5,2,2,6,3,9,3,2,5,0,1,8,3,7,4,0,3,5,2,4,9,6,1,5,4,4,9,8,6,3,7,6,12,7,4,9,5,7,4,7,7,6,5,9,4,14,6,2,9,8,7,3,12,3,10,8,1,4,3,4,6,5,1,9,4,4,4,8,7,4,7,6,3,6,3,3,2,1,2
S01006543,,366,,1,4,10,6,5,4,4,4,3,2,3,1,3,3,2,2,4,1,2,1,3,7,2,4,4,4,2,1,4,3,3,1,2,5,3,1,7,2,3,6,8,9,4,3,6,4,3,6,8,4,5,10,6,7,3,5,8,3,5,2,5,5,4,6,5,3,4,5,5,3,6,6,3,1,1,6,1,6,2,5,3,6,7,6,2,3,5,5,0,3,3
S01006544,,569,,11,6,5,4,4,2,4,7,3,4,4,4,2,0,4,7,1,3,4,4,6,6,4,4,13,11,10,10,6,22,8,9,12,11,13,14,11,14,8,10,12,6,6,13,7,7,5,6,15,11,9,8,9,5,11,11,11,5,3,6,9,9,7,10,9,4,3,5,4,2,6,1,3,3,1,4,3,4,0,1,4,1,4,3,2,4,3,4,0,1,4
S01006545,,529,,11,7,8,5,8,3,3,5,5,2,3,5,2,2,7,2,1,5,4,0,2,6,5,6,11,8,3,3,10,11,8,6,12,5,8,12,8,12,9,3,3,9,8,5,15,7,8,9,4,7,7,11,12,7,8,8,7,8,4,5,8,4,6,10,9,6,7,8,6,4,2,1,6,4,5,4,4,5,3,1,8,6,2,3,1,4,1,1,5,1,6
S01006546,,305,,1,6,4,0,3,3,1,3,1,6,4,1,3,4,3,3,4,1,9,3,0,3,6,4,5,1,3,0,1,3,5,1,3,5,5,1,6,2,2,6,1,4,2,3,10,4,7,7,3,1,7,3,9,8,6,4,5,4,2,3,7,8,4,6,7,4,3,1,4,8,4,2,2,1,2,5,3,3,2,2,0,1,2,1,1,0,0,1,1,0,2
S01006547,,418,,2,2,4,6,2,1,5,8,5,4,5,3,4,7,7,3,5,5,4,4,3,7,9,2,6,7,4,9,5,3,4,3,4,3,4,6,7,5,3,3,5,6,2,4,8,6,7,9,11,6,4,1,4,7,8,6,5,3,5,5,5,6,7,12,6,3,10,4,3,6,3,2,3,3,2,7,1,3,3,6,3,6,3,1,1,5,2,2,0,3,2
S01006548,,332,,1,5,5,4,3,2,3,1,4,3,1,3,1,6,4,5,5,5,3,2,0,4,3,1,1,6,3,0,3,1,1,12,2,4,3,3,3,3,4,3,3,4,4,1,4,7,7,5,6,11,1,2,3,8,4,2,4,6,1,4,2,9,7,3,5,6,4,7,4,4,2,5,5,5,2,5,5,5,3,3,6,7,1,2,3,1,1,2,2,0,3
S01006549,,405,,4,3,3,5,6,10,3,7,0,1,3,2,1,7,6,2,5,3,2,3,8,6,8,2,5,4,3,1,1,1,3,3,2,5,6,3,2,5,4,5,9,8,4,3,10,8,5,7,0,5,7,7,9,6,6,11,6,7,10,5,8,6,7,5,5,7,5,3,7,5,5,3,2,5,6,5,5,2,2,1,3,4,1,3,2,3,1,2,1,0,5
S01006550,,456,,4,7,1,7,0,3,6,3,4,4,3,2,2,4,4,4,8,3,5,2,5,2,6,3,8,1,6,2,0,10,4,5,6,1,3,1,6,3,3,7,4,5,2,6,5,5,7,5,7,10,4,9,9,2,7,13,6,16,9,6,2,1,12,7,7,11,7,4,5,2,5,3,7,5,7,3,7,5,4,4,7,4,9,1,5,5,3,5,1,5,8
S01006551,,336,,3,4,1,4,4,1,3,1,6,4,5,2,5,1,1,1,7,2,6,3,7,0,0,4,6,0,4,1,3,4,6,2,4,7,9,5,4,1,3,9,5,12,5,4,7,8,8,7,1,4,3,1,4,3,4,6,4,6,3,5,1,8,4,3,3,4,6,3,1,4,7,7,2,3,1,1,2,3,7,6,4,2,0,0,3,2,0,1,4,1,0
S01006552,,425,,4,7,5,2,7,6,0,1,3,1,3,2,5,3,1,6,9,6,0,1,2,6,4,10,7,6,6,8,6,11,8,6,16,9,8,12,6,2,3,11,11,0,4,2,12,10,3,8,4,0,5,6,7,5,6,9,3,11,6,3,8,10,4,8,1,10,4,4,3,5,2,0,5,3,1,3,0,6,4,4,0,0,1,2,0,1,1,1,0,0,0
S01006553,,396,,5,1,3,3,3,3,7,4,4,4,3,3,7,2,4,1,8,4,5,1,5,3,2,3,3,3,6,2,2,3,1,6,6,5,1,4,5,6,5,4,2,7,5,2,5,0,6,3,5,7,6,5,7,12,2,8,2,3,7,6,4,5,8,7,4,11,3,5,3,2,7,7,7,9,4,3,1,5,8,5,6,7,2,4,4,7,3,2,1,2,0
S01006554,,346,,5,7,3,5,1,3,3,5,0,0,9,6,2,1,3,2,4,1,3,5,0,3,4,8,3,8,8,8,6,7,6,4,5,12,2,3,5,9,1,6,2,7,6,6,5,6,6,6,5,2,3,4,2,6,5,4,3,2,2,12,4,2,3,4,2,2,3,7,2,2,0,0,3,2,4,2,6,3,4,2,3,7,2,3,0,2,0,0,0,1,1
S01006555,,411,,8,4,4,9,7,6,1,1,6,6,8,6,7,4,3,1,10,3,3,0,2,3,7,6,5,12,7,8,8,8,14,7,9,12,7,8,6,8,9,13,3,11,5,6,6,8,2,4,0,10,1,3,5,3,8,6,1,4,3,6,2,3,3,5,7,3,6,2,3,1,2,2,2,3,3,1,0,2,1,2,0,3,2,1,0,1,0,0,0,0,0
S01006556,,405,,3,4,4,3,3,13,6,4,6,3,3,7,2,2,4,2,5,4,3,3,13,6,7,3,8,3,4,0,8,3,4,9,8,8,0,1,6,5,5,7,3,6,2,9,6,9,7,4,6,4,6,9,7,4,3,9,3,7,4,4,5,3,5,10,2,5,4,0,0,2,5,4,1,2,2,3,3,4,8,3,6,6,6,2,3,2,2,0,0,0,3
S01006557,,339,,10,3,7,5,2,4,6,1,7,5,7,1,2,1,2,5,6,6,4,2,5,1,6,6,2,5,7,3,6,9,5,8,1,3,6,0,6,1,5,8,8,5,3,8,5,7,4,6,0,7,9,7,3,3,6,4,6,1,2,6,2,2,5,4,3,5,2,3,4,2,0,1,2,4,1,3,2,2,2,1,0,0,0,3,2,2,0,0,1,0,2
S01006558,,309,,2,7,1,0,3,2,2,3,3,0,1,1,2,3,0,0,4,5,2,1,3,3,4,3,6,9,11,13,5,10,19,11,7,1,3,3,7,6,10,5,4,4,6,4,3,5,2,4,4,3,5,5,1,8,0,6,3,4,4,3,2,4,1,4,3,4,1,2,3,2,1,2,4,0,0,1,1,1,1,3,1,0,1,0,3,1,0,0,0,2,2
S01006559,,303,,1,2,4,1,3,3,3,3,1,2,4,4,8,2,5,3,2,2,9,5,1,11,3,2,7,5,2,4,4,7,10,10,11,2,6,4,3,2,2,2,5,4,3,2,4,3,7,7,7,4,5,1,8,2,6,4,2,3,4,6,10,3,3,3,5,5,2,0,3,0,1,0,0,2,1,3,0,1,2,3,0,0,1,0,0,2,0,0,0,0,1
S01006560,,481,,8,9,5,7,6,6,6,4,9,4,5,7,5,6,5,9,5,12,12,4,5,4,7,5,8,3,0,10,7,7,8,8,6,6,5,6,7,0,2,7,8,7,7,14,8,3,8,6,7,15,6,4,8,4,7,7,6,1,6,7,7,9,8,4,4,7,2,3,1,5,6,1,3,0,2,1,3,1,1,2,3,0,3,1,2,3,2,2,2,1,8
S01006561,,369,,4,4,3,3,6,5,5,4,6,4,0,7,3,2,7,4,6,5,6,2,4,6,1,4,3,4,3,2,3,7,7,6,7,9,3,0,5,3,5,3,11,6,2,7,7,4,9,5,7,6,8,4,11,7,7,3,1,3,1,5,4,9,6,7,5,4,3,1,4,4,6,3,4,2,2,0,1,1,2,1,2,3,1,0,0,0,2,1,1,0,5
S01006562,,376,,4,2,0,4,3,7,3,7,5,6,4,3,6,5,6,4,6,3,0,3,6,4,5,4,5,2,6,3,2,2,4,0,1,5,3,5,6,5,6,2,5,7,4,4,3,6,6,8,9,5,3,4,4,11,8,9,5,6,8,8,6,8,6,2,5,8,6,2,4,2,4,3,1,2,5,3,1,4,4,2,5,3,0,3,3,0,0,1,1,0,2
S01006563,,394,,3,10,6,6,10,14,2,10,8,3,2,3,3,6,4,4,2,3,3,3,1,3,3,6,3,7,8,6,0,0,3,3,5,3,3,10,6,7,7,7,8,4,10,6,17,5,10,5,3,6,3,6,0,1,8,5,5,6,1,2,5,8,6,6,5,1,2,5,2,3,5,2,7,1,1,4,2,4,0,2,4,2,2,0,0,3,2,3,0,0,0
S01006564,,491,,5,2,4,6,3,1,6,0,2,1,5,3,0,2,4,3,2,2,7,9,7,11,24,21,19,17,18,11,11,12,13,12,8,11,7,9,10,4,8,7,11,6,6,10,6,11,1,2,6,12,10,7,11,6,3,5,5,3,4,1,2,2,3,6,3,2,2,2,1,1,3,0,3,1,2,1,4,4,6,1,2,0,1,0,0,1,0,1,1,1,2
S01006565,,502,,7,3,3,6,1,0,4,2,0,2,0,0,1,0,1,1,0,1,3,9,13,20,27,35,22,23,19,21,27,20,18,9,14,9,16,6,2,6,9,6,1,8,4,7,7,4,8,3,8,3,7,3,1,9,2,6,7,2,3,2,2,2,2,5,1,2,2,0,2,2,2,2,1,0,3,1,1,2,1,0,1,1,1,3,0,0,0,0,0,2,0
S01006566,,388,,2,2,4,2,2,1,1,0,3,1,3,3,3,1,1,1,4,0,0,5,6,7,10,8,20,13,15,8,18,22,19,17,9,10,10,7,5,6,1,8,3,4,6,7,8,0,6,4,5,4,2,3,3,5,3,4,5,6,4,6,2,0,5,4,4,4,3,5,2,2,0,2,0,1,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,2,0
S01006567,,419,,8,5,3,0,0,0,2,1,1,2,2,1,0,0,0,2,3,1,2,5,13,16,10,14,19,15,12,32,23,16,15,8,17,5,1,7,1,1,6,7,8,5,5,3,7,6,4,0,5,9,4,2,0,5,5,3,4,3,0,7,4,5,3,6,1,5,1,5,1,3,1,1,4,1,1,2,4,2,0,0,1,1,1,1,1,1,0,0,1,0,1
