"Table 1c: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Area,All Ages,,,,,FEMALES,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006515,Aberdeen City,399,,1,2,6,2,4,2,1,7,4,10,6,8,5,3,9,11,11,7,6,1,4,6,0,5,5,4,3,0,1,4,2,1,2,1,3,7,4,6,7,6,3,2,8,14,6,15,9,8,5,8,15,7,2,6,5,9,7,6,3,6,5,3,8,1,3,3,9,6,2,1,5,0,3,6,0,3,1,5,2,1,3,2,0,0,2,0,1,1,0,0,2
S01006516,Aberdeen City,327,,0,1,3,1,2,4,1,0,5,4,4,4,5,2,4,9,1,3,12,6,3,0,2,12,3,12,7,5,4,3,2,1,6,4,3,2,0,0,4,5,4,1,7,5,4,6,6,2,5,7,6,8,5,4,3,5,1,4,7,3,5,2,5,7,3,2,4,3,3,3,2,3,5,4,4,3,3,4,5,1,2,2,1,0,2,0,2,0,2,0,3
S01006517,Aberdeen City,508,,1,5,6,2,8,5,5,11,9,10,5,3,8,5,2,8,6,7,7,0,0,1,2,6,8,10,5,4,0,0,0,5,3,9,4,7,2,3,11,5,6,10,7,10,7,3,2,8,8,7,6,8,14,14,9,8,12,11,12,6,8,4,7,8,9,10,7,7,3,6,6,5,4,6,7,5,5,2,3,7,1,2,0,1,3,0,5,3,2,3,3
S01006518,Aberdeen City,354,,1,4,2,5,1,2,4,5,4,4,2,6,2,10,7,6,6,11,0,1,1,1,2,3,4,1,5,1,0,0,0,4,0,2,3,6,6,5,1,4,4,3,3,1,10,4,2,8,3,7,4,7,6,13,10,4,2,6,11,4,6,2,0,5,8,9,2,5,2,5,7,4,8,1,7,5,2,4,4,1,2,0,3,2,1,3,6,2,2,0,2
S01006519,Aberdeen City,502,,2,2,5,3,8,6,4,7,8,7,3,8,11,3,9,7,3,14,2,0,5,8,6,6,4,6,7,4,4,5,1,6,5,4,3,2,5,7,11,13,7,4,11,7,7,9,13,9,10,10,8,7,7,7,8,9,4,1,8,8,11,9,6,2,4,5,5,7,8,8,4,1,7,5,7,1,1,2,0,1,3,0,1,4,0,1,4,3,2,1,11
S01006520,Aberdeen City,401,,6,5,4,4,2,5,6,5,8,6,8,10,7,9,10,12,5,6,9,3,4,2,1,1,2,5,4,1,2,2,2,4,3,3,2,2,6,5,10,5,8,8,10,17,4,7,8,7,13,15,9,3,8,8,6,11,9,6,4,2,1,4,3,3,2,3,1,2,2,6,4,0,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
S01006521,Aberdeen City,399,,2,3,3,0,3,6,12,0,8,1,6,6,9,7,0,3,6,7,4,2,0,0,6,5,8,6,7,8,5,2,1,4,4,3,9,6,5,7,5,10,5,8,4,8,9,5,8,10,3,6,7,11,4,15,6,8,3,5,3,1,8,10,9,1,6,2,6,7,3,3,2,1,3,1,1,2,4,1,3,1,3,0,0,0,1,0,1,1,0,0,1
S01006522,Aberdeen City,341,,4,5,3,5,5,8,3,9,8,1,4,5,5,2,3,3,2,7,0,3,0,10,0,2,5,4,4,3,1,3,3,6,1,6,0,5,5,7,8,2,8,2,4,6,9,8,1,5,4,8,3,2,3,7,2,7,9,3,5,8,3,3,5,5,3,2,7,4,3,2,4,1,5,3,1,4,3,1,2,3,2,1,4,0,1,2,2,0,0,1,0
S01006523,Aberdeen City,530,,4,6,8,4,11,4,11,5,5,7,4,6,3,6,7,5,9,3,3,3,6,7,6,7,5,15,9,8,5,8,2,4,1,4,7,6,5,0,7,8,10,5,6,8,12,4,3,5,4,4,10,6,5,7,9,12,9,6,5,12,8,5,1,5,4,2,5,7,3,9,7,3,5,2,7,5,8,1,11,4,4,7,3,4,6,7,1,5,1,3,11
S01006524,Aberdeen City,564,,0,9,4,4,1,5,2,4,5,5,4,5,8,4,1,5,4,7,0,7,7,4,12,9,6,12,4,8,5,8,8,6,1,6,6,7,3,6,6,12,8,4,9,6,5,10,10,3,3,8,8,13,3,7,11,7,10,7,3,3,10,3,6,8,8,4,3,10,2,5,5,6,4,8,6,1,4,9,5,8,6,13,4,2,5,6,5,9,17,7,17
