"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
SCOTLAND,,"2,596,530",,"28,862","29,292","30,318","31,185","29,681","30,397","30,374","29,300","28,594","28,662","28,153","27,035","26,903","27,936","29,012","30,042","30,679","31,736","32,115","33,488","34,996","35,616","37,808","38,367","36,690","36,369","36,406","34,959","34,888","34,315","33,218","33,580","33,826","33,971","33,294","32,458","29,810","29,823","31,318","31,364","32,132","33,970","35,727","36,879","36,572","38,024","38,746","39,531","38,954","40,603","39,739","39,886","39,347","38,250","37,197","36,582","35,589","34,900","33,780","32,194","31,891","31,253","30,085","30,291","30,593","31,180","31,997","34,401","26,034","24,026","24,562","22,965","20,726","18,881","19,053","18,502","17,749","16,143","15,329","14,239","12,867","11,713","10,949","9,748","8,345","7,275","6,019","5,217","4,444","3,624","10,987"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,419,,2,4,7,2,6,6,2,6,3,2,2,4,5,1,3,2,4,14,0,0,1,3,7,5,6,6,4,8,7,6,10,11,11,3,5,2,3,6,7,7,8,4,9,9,8,9,7,7,9,5,12,5,5,1,10,3,10,4,5,16,6,7,8,3,1,5,5,6,4,5,3,3,4,1,1,2,5,1,1,1,1,1,0,0,2,1,1,0,0,1,1
S01006507,,401,,6,4,4,8,7,4,7,0,6,0,3,4,2,5,5,11,4,5,4,3,3,4,4,7,2,4,6,1,3,4,6,5,3,2,6,6,6,0,3,4,5,4,6,7,3,4,8,3,4,8,8,3,6,4,4,3,5,10,9,15,3,4,5,8,4,11,10,12,3,4,4,9,7,5,2,2,3,1,5,0,3,2,1,0,0,0,0,2,1,0,0
S01006508,,359,,8,7,5,7,4,3,2,5,2,6,5,4,0,4,6,2,2,4,2,1,1,2,3,10,4,3,8,9,9,5,3,7,5,8,13,9,4,5,3,9,9,4,9,2,1,5,4,7,8,8,6,5,4,6,4,5,2,10,7,1,4,8,4,3,6,3,1,3,1,2,4,0,3,3,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0
S01006509,,269,,4,4,2,3,3,3,3,6,4,0,2,4,5,5,2,4,4,2,2,2,0,1,4,2,0,3,5,4,2,2,2,4,5,0,7,3,3,5,8,4,0,4,5,3,2,3,0,2,6,7,3,3,1,5,5,5,3,4,6,4,4,1,4,5,5,6,5,7,1,1,3,1,0,0,3,4,2,4,2,0,1,1,1,1,0,4,2,1,0,0,1
S01006510,,322,,1,2,3,1,0,3,5,1,4,4,3,5,4,3,12,1,4,4,4,2,5,3,2,2,5,5,3,6,2,3,4,1,3,5,5,6,4,1,6,4,3,6,5,8,4,3,5,4,7,6,1,5,7,5,5,5,4,3,6,0,3,7,5,5,2,8,0,5,3,2,1,2,4,3,3,3,4,2,1,3,2,0,3,0,6,1,1,1,2,1,6
S01006511,,383,,2,2,2,2,2,5,1,6,3,1,3,8,3,5,6,4,6,14,5,8,5,0,5,3,4,5,2,6,6,5,2,3,4,1,3,2,2,2,2,5,2,5,6,4,2,3,1,7,8,10,6,2,6,5,1,8,7,9,9,6,7,7,5,4,5,3,6,10,3,8,9,5,2,5,3,3,4,1,5,3,4,4,0,2,3,4,1,1,1,2,1
S01006512,,271,,0,5,2,7,1,2,9,2,6,8,4,9,6,10,5,4,6,8,0,7,0,3,4,1,5,3,1,1,0,0,1,0,1,2,2,3,0,1,2,5,3,6,7,5,3,3,3,6,2,5,7,10,6,4,1,5,6,2,4,1,1,5,10,0,5,0,3,2,1,3,2,0,2,1,1,2,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0
S01006513,,314,,3,5,1,0,6,3,6,5,3,1,4,2,4,10,3,6,7,4,1,5,2,1,1,1,1,2,1,3,6,2,0,3,4,3,4,6,4,4,2,2,3,0,2,0,3,4,6,2,4,10,7,8,5,4,3,7,3,5,5,3,2,3,8,1,3,3,4,3,0,2,5,4,3,5,2,1,3,2,7,4,3,0,3,3,1,7,2,0,0,1,14
