"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006516,,267,,4,0,0,3,4,0,1,3,3,4,5,0,6,6,4,1,10,1,7,5,4,6,8,0,2,4,5,4,0,4,3,5,3,3,1,8,1,1,6,2,4,1,3,1,6,2,3,5,8,3,5,3,1,1,3,6,5,2,2,3,6,5,0,5,1,6,7,3,1,1,1,3,2,0,0,6,3,2,2,1,1,3,3,0,0,0,0,1,0,0,0
S01006517,,499,,1,2,3,1,3,7,11,9,5,12,9,5,11,6,11,12,6,6,6,9,5,4,2,5,5,5,4,3,5,1,2,0,2,4,1,6,2,2,11,8,4,2,5,2,10,12,7,3,6,5,13,16,9,13,5,4,12,14,7,3,10,15,9,8,8,8,5,7,5,5,8,6,2,3,4,3,2,3,2,1,2,2,2,1,3,1,2,3,3,0,2
S01006518,,311,,2,2,2,4,5,6,1,2,6,7,2,5,3,1,6,6,5,5,6,4,4,1,5,2,1,1,2,2,0,1,1,6,3,1,1,2,0,3,1,1,2,5,0,3,4,5,6,4,4,7,5,9,9,4,8,4,5,5,4,8,5,9,7,6,5,2,4,2,4,4,5,4,4,4,3,2,4,1,1,5,1,1,1,4,1,0,1,0,1,0,1
S01006519,,437,,5,7,2,4,7,11,5,7,6,9,8,9,11,9,8,10,8,12,10,0,5,3,4,7,5,4,2,0,4,2,0,1,1,1,2,3,5,2,4,6,3,3,7,3,5,9,11,7,7,4,5,13,7,6,10,7,4,8,10,7,5,7,5,5,3,4,9,3,3,5,4,6,2,5,2,3,3,2,1,1,0,1,1,3,0,1,1,1,3,2,1
S01006520,,399,,3,5,2,10,8,8,12,7,11,8,3,9,5,10,7,13,9,10,12,1,6,4,4,3,5,3,2,5,0,3,0,0,2,3,0,1,0,5,7,3,12,7,7,11,7,7,6,7,9,12,9,7,8,11,7,4,3,5,4,7,3,5,1,4,5,1,3,0,4,0,3,1,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
S01006521,,380,,6,6,5,4,4,3,7,5,7,3,16,4,8,5,7,5,2,4,3,4,1,5,2,5,3,2,3,4,2,1,1,2,8,2,9,1,3,7,9,4,6,5,2,5,6,7,13,10,11,7,7,6,5,6,8,10,5,1,5,2,5,8,5,6,7,6,3,5,4,2,2,2,4,1,3,1,0,0,1,0,0,1,0,2,0,1,2,0,0,0,0
S01006522,,286,,6,5,6,6,3,5,2,8,3,3,4,4,3,2,4,4,4,6,2,4,5,2,1,2,1,1,2,1,2,1,0,1,3,2,5,4,3,5,8,4,1,8,5,6,2,7,6,2,7,1,9,2,4,4,6,4,4,3,4,4,3,9,5,0,4,3,3,1,1,1,3,2,0,0,1,3,6,2,0,1,3,2,2,0,1,1,1,0,0,0,2
S01006523,,437,,6,1,5,3,8,0,4,9,1,3,6,6,4,8,4,7,8,3,4,5,5,0,3,4,7,7,7,7,2,9,3,3,2,6,3,1,5,2,5,8,5,5,6,11,3,8,6,8,9,2,10,7,8,7,8,15,7,8,6,5,5,8,1,10,5,4,6,8,6,2,3,4,2,3,4,5,2,2,4,3,1,2,2,2,5,3,1,1,2,1,2
S01006524,,475,,2,6,5,8,5,0,7,3,4,6,2,3,9,6,4,7,11,7,5,3,11,6,3,4,6,4,7,5,2,0,5,10,0,7,1,8,2,6,4,5,5,8,5,2,4,3,12,5,9,8,6,5,8,9,6,11,5,6,8,13,9,4,7,7,3,4,9,1,4,5,6,4,5,2,4,8,7,5,1,2,2,4,4,5,4,5,1,2,3,1,10
S01006525,,383,,4,6,4,8,0,1,2,7,2,4,0,1,5,4,9,6,8,3,6,2,0,8,6,5,6,3,6,3,3,2,2,3,2,1,6,1,1,0,5,4,4,4,7,5,9,2,6,5,6,2,5,9,7,9,5,4,2,7,5,3,4,4,8,5,5,6,8,4,1,8,7,4,2,5,3,4,7,2,7,2,1,9,5,4,2,3,2,2,2,0,2
S01006526,,424,,10,3,4,2,12,4,5,1,0,2,2,2,2,3,3,4,3,8,3,7,5,17,15,12,10,17,12,21,4,9,9,7,5,7,4,9,3,5,3,6,0,7,7,1,3,6,5,0,4,5,6,5,5,4,5,9,3,3,7,2,6,3,0,2,5,3,3,8,0,3,0,2,3,1,1,5,1,1,6,0,5,2,3,2,1,1,1,0,1,0,8
S01006527,,307,,3,4,5,6,2,7,3,7,5,1,4,4,1,4,5,2,3,5,4,9,2,5,7,3,1,11,1,0,3,1,1,4,7,1,8,2,5,6,1,3,2,4,0,4,1,8,8,7,4,3,7,5,3,8,3,1,3,2,6,6,4,9,7,6,2,2,5,2,2,2,1,2,1,3,0,1,0,1,4,2,0,1,2,0,1,2,0,2,1,0,1
S01006528,,503,,2,4,4,7,4,6,7,10,4,3,2,5,5,2,5,6,4,7,10,7,12,10,20,14,11,19,16,14,16,8,9,8,6,5,8,15,8,3,3,4,7,2,5,3,2,3,7,2,11,6,6,4,11,3,5,7,4,6,1,5,5,3,4,4,4,4,0,2,5,2,2,4,2,10,3,7,6,4,1,2,4,1,2,2,0,0,1,3,2,1,0
S01006529,,444,,4,3,3,2,0,3,3,0,5,2,2,3,2,2,2,3,2,2,0,6,3,16,9,14,9,16,11,8,12,6,14,18,11,12,7,0,8,5,9,4,12,8,7,3,6,6,9,3,6,6,11,5,6,9,0,9,1,1,2,7,2,4,9,3,5,6,3,3,8,3,2,4,2,2,4,2,1,3,1,3,2,0,5,2,0,1,1,2,2,1,0
S01006530,,362,,2,4,5,2,2,2,2,0,2,2,3,4,4,1,5,4,4,3,6,1,3,10,11,7,11,10,13,14,6,4,8,7,5,4,8,1,5,5,7,7,6,4,6,3,5,2,4,4,4,1,7,6,5,3,8,5,4,7,3,2,2,4,5,5,3,4,3,3,5,1,7,2,5,2,2,1,3,0,0,0,4,2,0,2,0,1,0,1,0,2,0
S01006531,,476,,6,3,2,5,5,6,4,8,3,3,3,2,3,12,6,5,4,6,3,9,3,8,11,13,14,16,14,10,5,5,11,8,9,5,15,10,7,0,8,5,3,7,6,6,4,8,6,6,4,10,3,3,7,4,2,10,3,2,4,3,1,10,6,6,6,3,6,7,3,2,2,3,3,4,6,2,4,3,2,3,3,4,5,3,1,0,1,0,1,0,0
S01006532,,370,,3,4,4,4,3,3,2,4,4,1,2,3,2,6,1,1,4,7,5,0,1,7,12,7,9,5,6,6,5,7,3,0,6,7,4,0,6,0,7,6,7,9,5,2,3,5,12,4,6,4,5,5,2,4,5,6,3,3,3,3,6,2,6,4,3,3,8,2,3,5,4,4,6,5,4,5,1,1,1,5,3,2,5,1,0,0,0,1,6,2,9
S01006533,,380,,4,5,5,5,5,4,3,1,2,7,3,4,3,3,3,6,5,11,3,0,2,1,3,5,7,6,7,2,9,3,3,2,5,3,3,6,4,3,11,5,4,10,7,1,3,4,10,6,9,8,6,10,3,4,7,7,8,6,6,6,12,4,4,4,6,1,2,2,5,3,6,3,2,2,2,3,3,1,2,1,3,1,2,0,2,1,2,1,1,1,1
