"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006516,,282,,0,2,3,4,0,3,3,2,3,1,1,2,7,2,2,5,0,6,4,3,12,1,6,9,6,3,1,1,2,5,2,4,1,0,0,2,4,2,0,5,4,3,4,5,1,3,7,6,10,4,2,3,4,2,4,7,4,4,2,5,7,4,2,4,3,3,3,3,3,5,5,4,3,3,4,5,2,2,2,1,1,2,0,2,0,2,1,0,0,1,2
S01006517,,520,,1,5,5,6,9,8,10,8,3,7,5,3,6,6,8,10,6,11,3,2,4,8,7,4,5,2,1,3,5,3,4,2,6,0,3,11,7,6,8,5,7,7,4,2,11,7,9,5,7,14,9,7,10,12,11,12,5,9,4,5,8,8,12,7,7,3,6,8,6,5,6,9,5,5,2,3,8,2,5,0,2,3,3,7,5,2,5,1,1,0,3
S01006518,,337,,2,0,2,4,3,3,5,2,6,1,9,7,6,3,8,0,1,4,4,2,4,1,2,3,1,0,0,0,4,2,3,2,4,3,4,0,3,5,1,5,1,8,5,2,7,3,6,4,6,6,12,8,3,2,5,11,5,6,3,2,6,8,10,5,6,2,4,7,4,8,2,7,5,2,4,5,2,3,0,4,3,2,3,6,2,1,0,0,1,0,1
S01006519,,473,,1,4,3,4,5,6,4,2,9,9,4,5,8,3,14,4,9,4,10,4,6,3,10,7,10,3,5,0,2,4,2,4,2,3,3,8,9,6,6,5,7,6,7,9,9,11,12,9,5,6,8,11,10,4,4,9,10,13,10,5,1,4,7,5,7,6,8,4,2,7,5,7,1,1,2,1,3,3,0,2,3,2,1,2,1,1,1,1,0,2,8
S01006520,,383,,3,1,6,5,3,6,5,5,9,8,8,10,15,5,9,12,5,8,2,0,4,3,5,4,3,1,0,1,4,2,3,1,0,2,2,7,4,6,7,10,14,2,9,9,8,11,15,9,5,9,9,9,13,9,6,6,2,2,5,3,3,1,3,2,2,2,5,4,0,2,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
S01006521,,379,,0,5,6,11,2,6,2,7,6,6,5,1,2,7,4,5,8,8,1,6,2,7,3,8,8,5,3,5,1,3,1,3,7,3,6,6,7,4,3,4,6,8,7,7,7,5,6,8,13,6,15,5,8,4,6,5,1,6,10,8,2,5,2,6,7,2,3,2,1,3,1,1,2,2,1,3,1,3,0,0,0,1,0,0,1,0,0,1,0,1,0
S01006522,,319,,4,5,6,5,8,7,1,4,5,3,2,3,4,2,7,3,6,3,7,0,0,3,1,3,2,0,2,4,4,1,8,0,4,3,6,8,1,6,3,4,5,8,8,1,5,4,9,0,2,5,6,2,7,9,3,4,8,3,5,4,5,3,2,7,4,3,2,4,1,7,3,1,4,3,1,2,3,2,1,4,1,1,1,3,1,1,1,1,0,0,1
S01006523,,510,,4,6,2,10,7,5,9,5,7,5,4,6,7,8,6,5,9,5,5,0,3,5,7,4,3,4,7,7,3,2,3,5,6,10,2,5,6,5,6,9,8,9,4,4,7,2,5,11,6,4,9,9,12,9,7,5,10,8,6,3,5,3,2,3,7,5,10,8,3,6,2,6,5,9,3,10,4,4,7,3,6,4,7,2,7,4,3,7,1,3,6
S01006524,,548,,4,2,4,0,5,4,4,2,3,8,3,3,4,3,8,3,6,10,8,7,7,6,7,6,4,4,5,4,4,2,5,5,8,3,5,8,12,6,4,9,5,6,10,9,6,3,8,8,13,1,7,10,7,11,5,4,5,10,3,6,8,6,5,5,11,4,5,5,6,5,7,5,1,4,11,5,7,8,13,4,2,6,6,2,8,16,6,1,5,4,25
S01006525,,415,,2,0,8,3,4,4,7,5,5,7,3,6,3,3,5,5,7,5,1,0,0,4,4,2,2,6,1,1,0,3,3,7,1,2,5,4,3,2,8,8,3,10,6,5,9,6,9,4,5,8,5,3,6,6,8,9,4,7,7,3,3,6,4,7,4,6,6,6,11,3,6,5,7,6,2,2,6,4,8,3,4,3,8,3,4,5,3,3,2,2,1
S01006526,,464,,5,9,5,1,0,2,4,8,3,2,1,1,3,1,0,1,3,3,11,6,12,21,8,14,16,8,6,11,13,13,6,3,13,5,6,2,2,5,6,10,2,5,0,2,1,8,3,3,5,1,10,5,9,11,5,5,7,7,8,3,3,7,3,2,5,2,1,3,2,7,3,8,3,3,8,2,2,2,3,6,4,6,1,4,3,1,3,2,2,3,11
S01006527,,348,,2,6,0,1,1,10,3,2,7,5,2,2,5,5,2,5,4,1,6,3,3,6,1,11,1,10,12,7,7,3,4,1,3,3,4,4,3,2,7,2,7,5,8,3,5,9,4,2,4,4,6,7,5,4,5,6,3,5,2,6,3,4,2,3,2,3,3,3,5,0,3,3,3,3,4,6,3,3,1,1,4,1,2,3,2,1,2,0,0,1,8
S01006528,,589,,6,4,9,6,5,8,4,3,8,7,8,5,5,2,5,3,7,1,8,13,18,15,21,9,18,22,15,20,9,10,20,11,9,8,4,8,10,4,7,0,5,2,8,5,3,5,7,9,6,6,9,3,4,9,3,6,2,6,9,3,6,5,7,2,5,8,4,3,4,6,4,8,8,5,3,5,9,4,3,7,1,3,0,1,3,2,2,1,2,1,2
S01006529,,445,,8,1,1,11,7,3,6,2,2,2,2,0,2,2,2,2,5,2,4,5,16,6,13,25,5,7,9,16,20,10,11,9,5,4,7,6,4,6,0,5,4,2,5,0,6,4,1,4,5,9,5,0,7,4,2,6,3,5,9,3,4,0,5,6,4,1,4,1,5,2,5,1,1,4,4,4,5,3,2,2,5,4,4,7,9,4,0,1,1,3,7
S01006530,,395,,4,2,1,6,4,3,2,2,0,2,4,3,3,5,3,0,6,2,5,3,4,15,11,3,10,12,8,8,5,8,2,9,8,3,4,1,2,4,3,3,0,6,4,0,4,8,4,3,5,5,7,7,9,8,5,10,7,8,5,5,7,5,6,5,7,2,10,4,1,2,4,3,5,3,4,3,0,5,1,2,3,0,1,1,7,4,1,0,2,4,0
S01006531,,477,,4,4,3,0,7,0,2,2,1,5,5,9,1,1,2,3,5,9,7,12,7,7,17,20,21,7,7,9,6,8,8,7,3,9,4,6,8,3,9,6,4,11,4,6,6,8,9,3,5,6,4,2,9,9,1,4,3,6,6,4,1,4,8,4,5,6,5,3,5,1,5,3,1,2,2,4,6,5,6,0,3,4,4,4,2,3,8,3,0,2,4
S01006532,,409,,1,1,3,2,1,4,6,4,6,1,3,2,3,3,1,2,2,0,2,3,2,5,8,3,5,4,3,3,1,4,8,3,6,6,7,1,10,0,3,4,5,8,5,1,3,5,3,3,6,4,6,4,8,5,6,4,4,3,7,5,6,3,6,2,3,4,9,2,3,5,4,9,3,8,2,4,2,4,2,7,3,3,7,7,7,9,8,6,7,2,31
S01006533,,413,,3,4,5,7,7,5,5,2,5,1,3,0,2,5,6,7,5,5,2,7,4,8,5,2,4,5,6,5,1,7,7,6,6,1,11,3,5,6,4,10,6,6,5,5,8,5,5,10,2,10,4,9,7,8,5,9,9,10,5,4,3,2,6,6,4,6,1,2,3,4,1,6,1,3,6,4,4,2,1,0,4,1,6,4,1,0,3,0,2,2,1
S01006534,,491,,1,7,3,7,5,10,7,8,9,11,7,2,10,4,7,6,4,6,4,1,6,6,3,2,6,3,11,5,8,2,6,9,6,10,4,8,4,8,8,6,3,9,9,11,13,5,4,8,13,6,5,12,6,5,13,9,7,2,5,6,6,5,3,3,4,6,7,3,5,1,7,5,4,0,4,0,2,3,3,2,3,6,3,2,4,1,1,1,4,1,1
S01006535,,513,,3,5,12,5,6,3,8,4,2,3,2,3,0,2,1,2,1,3,4,4,6,9,5,9,13,11,18,10,23,13,12,12,10,10,19,10,9,10,8,7,6,11,13,3,8,7,11,7,6,7,4,10,3,7,2,6,4,5,7,0,9,8,3,4,3,6,5,5,1,2,3,3,4,3,0,3,2,7,1,1,1,2,2,1,1,2,3,1,2,1,0
S01006536,,514,,4,10,10,0,3,3,1,2,2,7,2,4,2,1,0,1,2,0,0,1,7,21,15,22,24,17,6,19,21,19,18,21,20,12,11,2,8,10,3,7,7,4,6,8,11,6,6,7,4,6,9,8,5,2,6,3,8,4,2,3,1,2,3,2,4,6,6,3,0,5,0,3,0,0,4,2,1,1,1,1,0,5,1,1,1,0,0,0,1,3,4
S01006537,,467,,2,0,4,7,6,1,1,5,4,2,4,2,4,8,6,3,0,5,1,1,5,3,2,2,3,4,6,2,5,1,7,1,1,3,14,3,2,4,4,3,4,7,6,8,6,4,0,4,12,7,9,5,4,10,7,4,7,8,4,5,6,6,7,4,7,8,8,7,4,6,12,8,3,10,8,8,8,7,7,4,8,8,2,5,2,5,4,4,4,5,20
S01006538,,301,,4,2,4,5,2,1,2,4,3,3,3,4,6,2,3,2,1,1,2,0,3,5,2,5,0,5,2,0,1,1,4,2,3,3,3,8,4,2,2,5,5,5,4,5,2,5,4,4,7,10,3,3,6,5,3,6,3,1,6,5,8,2,4,3,4,3,4,6,3,5,2,1,1,3,3,7,3,3,4,3,3,6,3,3,2,3,0,0,0,1,2
S01006539,,423,,6,6,3,6,3,7,4,7,5,2,3,2,2,5,4,1,3,3,5,0,5,3,4,3,1,5,0,6,7,3,2,2,6,6,6,4,8,5,5,5,7,5,8,11,7,4,6,9,3,4,5,3,6,8,5,8,5,7,4,3,5,3,3,4,8,7,10,2,5,4,4,6,5,4,7,4,2,0,3,7,6,4,1,4,3,3,3,2,1,3,19
S01006540,,471,,6,2,9,7,3,5,2,3,0,3,1,5,5,5,2,4,0,2,2,5,3,7,5,9,7,5,3,7,6,14,6,9,4,8,9,8,6,8,12,6,9,6,6,7,5,5,10,7,4,10,5,7,6,11,6,9,4,5,8,8,8,9,1,4,5,3,6,3,0,3,3,9,4,3,3,4,2,3,5,4,3,6,3,4,2,5,0,5,0,4,6
