"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006515,,392,,3,2,1,5,4,10,6,7,3,5,5,10,10,6,8,3,5,8,1,5,5,6,3,3,2,4,0,1,1,3,2,7,5,4,3,4,4,2,6,11,6,15,9,8,4,6,12,6,3,6,5,10,7,7,4,6,5,4,8,2,3,4,8,9,1,2,6,1,4,6,0,3,1,5,2,1,3,3,1,2,2,0,3,2,2,0,1,0,0,0,1
S01006516,,282,,2,3,3,1,1,3,2,3,1,1,2,8,2,3,5,0,6,3,3,11,2,6,9,6,3,1,1,1,5,1,4,1,0,0,2,3,2,0,6,4,2,4,5,1,3,7,6,11,4,2,3,4,2,4,7,4,5,2,5,7,5,2,4,3,3,3,3,4,5,5,4,3,3,4,5,2,2,2,1,1,2,0,2,0,2,1,0,0,1,1,1
S01006517,,512,,2,3,4,9,8,10,5,3,6,5,3,6,6,7,11,5,12,5,2,4,8,6,3,5,3,3,3,4,2,4,3,5,0,3,9,4,4,8,4,7,7,4,3,11,8,8,6,9,13,10,6,11,12,10,12,4,9,4,5,8,8,12,7,7,3,6,8,6,5,6,9,5,5,2,3,7,4,5,2,2,3,3,8,5,3,5,1,1,1,0,6
S01006518,,332,,0,2,1,4,2,6,1,5,2,8,7,4,3,8,0,1,6,6,3,2,1,2,2,3,0,0,0,5,2,3,1,2,3,4,1,3,4,1,4,0,8,6,2,6,5,6,6,6,7,11,8,3,2,5,11,5,6,3,2,6,8,10,6,6,2,4,7,4,8,2,7,4,2,4,4,2,2,1,4,3,2,3,6,2,0,0,0,2,0,0,1
S01006519,,470,,4,2,2,6,4,4,3,7,10,4,4,7,5,12,5,10,5,9,6,6,2,9,7,11,3,6,3,0,4,4,2,2,3,2,7,9,4,4,4,6,5,7,9,8,11,11,8,5,7,9,12,11,5,6,11,10,13,11,5,1,5,7,5,7,6,9,4,2,7,5,7,1,1,2,0,3,3,1,2,3,1,0,2,1,1,0,2,1,2,0,8
S01006520,,377,,1,2,6,3,6,5,6,8,6,7,7,15,7,8,13,6,10,7,3,5,2,6,2,2,3,0,1,3,2,1,0,0,1,2,5,4,4,6,9,13,2,7,10,6,11,16,9,5,9,10,9,13,8,7,6,3,2,5,3,3,2,5,2,2,2,5,4,0,2,1,2,2,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
S01006521,,361,,5,6,10,1,4,2,6,5,6,4,0,2,7,4,4,7,9,3,8,1,5,3,4,9,5,2,3,3,6,3,3,6,4,4,6,4,3,4,2,6,10,7,9,6,3,4,8,13,5,13,5,7,4,5,4,2,6,11,8,2,5,2,6,7,2,2,2,1,3,1,1,2,2,1,3,1,3,0,0,0,1,0,0,2,0,0,1,0,1,1,0
S01006522,,295,,5,5,3,8,8,1,4,4,3,1,3,5,2,6,3,5,3,7,0,0,1,0,3,2,1,3,5,2,0,7,1,3,2,4,6,1,7,2,4,5,7,7,1,5,4,9,0,2,4,7,2,6,8,3,4,8,3,5,4,5,2,2,6,4,3,2,4,1,7,3,1,4,3,1,2,3,2,1,4,1,1,1,4,1,0,1,1,1,0,0,0
S01006523,,509,,6,4,8,5,5,9,5,7,5,4,6,5,8,6,5,8,6,7,2,3,4,5,6,3,5,6,7,3,4,5,5,3,4,4,6,7,6,8,7,9,10,3,4,6,2,5,11,6,3,9,8,12,10,8,6,10,9,6,3,6,3,2,3,7,5,10,9,2,6,2,6,4,8,3,10,5,3,8,2,6,5,7,3,6,4,4,7,2,3,2,4
S01006524,,517,,3,1,0,2,6,6,2,3,8,3,3,4,3,7,2,6,10,5,9,6,6,7,3,6,3,4,5,4,4,6,2,5,0,5,6,8,4,4,8,4,5,9,9,6,4,7,8,12,2,7,11,7,11,4,5,5,10,3,6,10,6,5,5,10,6,5,5,6,5,6,4,1,3,8,3,6,8,10,3,2,8,6,5,4,17,5,1,7,4,8,21
