"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006516,,299,,3,0,5,2,0,4,3,0,2,4,4,4,4,3,8,5,7,5,9,6,5,8,4,4,8,3,2,5,2,5,0,2,4,7,2,4,0,9,0,1,6,0,7,3,5,1,7,2,4,6,8,5,5,3,1,1,3,6,6,3,2,3,5,4,1,5,1,5,7,3,1,1,1,3,2,0,0,6,3,1,2,1,1,3,2,0,0,0,0,1,0
S01006517,,525,,5,2,2,3,6,2,6,7,10,11,6,12,8,5,15,6,11,10,4,3,7,9,7,3,5,7,6,7,2,4,7,2,7,1,5,4,2,6,3,2,10,7,5,3,6,3,10,12,6,2,6,7,15,16,9,11,5,4,11,14,6,4,10,14,9,8,8,8,4,7,5,5,7,5,2,2,2,3,2,2,2,1,0,2,2,1,3,1,2,2,4
S01006518,,317,,3,1,2,3,4,3,6,6,1,4,7,8,4,5,4,1,6,6,3,3,4,3,5,1,3,1,1,1,1,0,0,2,0,6,6,1,1,3,0,2,3,1,3,5,1,4,3,6,6,4,4,7,6,9,9,2,9,4,8,8,4,7,5,9,7,6,4,2,3,2,3,4,4,4,4,4,3,2,4,1,1,4,1,0,1,3,1,0,1,0,0
S01006519,,455,,4,2,8,11,4,7,9,11,7,8,10,10,7,10,12,11,9,7,5,8,4,0,7,5,4,9,4,4,0,2,5,0,0,2,2,0,1,1,5,5,7,8,3,3,8,3,5,10,14,7,5,4,6,12,7,6,10,7,2,8,9,6,6,7,6,5,3,4,9,3,3,5,5,6,2,5,2,3,2,1,0,1,0,1,1,3,0,0,1,0,1
S01006520,,384,,5,4,5,6,2,11,7,7,16,5,15,6,4,6,6,9,6,12,5,4,6,0,3,5,2,4,6,3,2,5,1,2,0,1,5,1,1,1,2,5,8,2,13,7,6,10,7,6,7,6,9,12,5,6,8,7,8,4,4,6,3,6,3,5,1,3,4,1,3,0,4,0,3,1,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
S01006521,,380,,4,4,4,7,7,3,8,1,8,6,5,4,15,4,7,3,2,5,2,1,1,3,1,5,2,7,3,6,2,6,3,2,1,2,10,2,7,3,2,8,9,4,9,5,1,4,8,7,11,7,10,9,6,8,6,6,6,9,3,0,5,3,5,7,4,7,7,6,4,4,4,1,2,2,4,1,3,1,0,0,1,0,0,0,0,2,0,1,1,0,1
S01006522,,306,,4,6,7,6,6,6,2,6,2,8,5,3,4,5,3,2,4,4,4,3,0,3,5,5,0,2,1,1,1,2,1,4,2,2,3,2,5,4,2,6,8,4,2,9,6,5,3,7,7,4,8,2,8,2,4,5,9,4,4,4,4,3,3,8,4,0,4,3,2,1,1,1,3,2,0,0,1,4,5,0,0,1,3,2,2,0,1,0,1,0,1
S01006523,,445,,0,4,3,4,6,4,8,1,6,8,3,1,5,6,4,9,3,6,4,1,3,5,6,2,2,6,10,11,6,6,1,13,5,1,3,6,3,3,4,4,8,7,7,6,3,11,3,7,7,8,10,2,10,5,5,8,8,14,7,10,6,7,5,9,2,9,3,4,5,8,5,2,4,4,2,3,4,5,3,2,4,2,1,2,2,2,3,2,1,1,1
S01006524,,498,,4,4,3,7,8,9,6,0,8,3,7,6,3,4,8,6,4,7,11,9,0,5,8,9,4,6,8,6,6,3,1,1,3,10,3,2,0,9,3,7,9,6,5,12,2,3,4,4,12,8,10,8,6,5,8,9,7,11,5,7,10,11,7,5,6,6,4,4,10,2,4,4,5,5,5,3,3,6,6,3,1,3,1,3,4,6,4,2,1,0,12
S01006525,,417,,2,3,4,12,1,10,1,4,5,9,4,4,1,2,5,5,9,5,5,2,4,2,0,10,6,7,6,5,7,4,4,2,2,3,3,3,6,2,4,2,5,3,8,6,6,6,12,3,6,7,6,0,6,9,6,6,5,5,2,5,5,3,4,4,8,5,4,6,6,3,2,7,7,4,1,5,4,3,4,2,8,2,1,6,7,4,3,2,4,1,5
S01006526,,447,,2,3,8,2,7,1,10,6,5,0,2,1,2,3,2,5,4,4,5,11,7,12,9,16,16,18,14,11,13,21,0,14,13,10,6,5,7,6,5,3,4,6,2,7,8,0,1,6,6,0,4,4,6,5,4,4,5,8,3,3,6,2,7,3,0,2,5,3,3,8,0,3,0,2,2,0,1,3,1,1,3,0,4,2,5,1,1,0,0,0,4
S01006527,,343,,4,8,3,5,4,6,3,6,3,7,4,2,5,6,2,4,6,3,2,4,2,10,5,4,8,6,2,13,3,2,4,2,1,6,7,5,8,4,3,9,2,2,0,4,1,6,0,9,9,5,6,4,10,7,3,8,4,1,3,2,6,5,5,6,7,6,0,2,6,1,2,1,1,1,1,3,0,0,0,1,3,2,0,1,0,0,1,2,0,1,2
S01006528,,523,,3,2,0,4,4,6,4,7,3,10,3,4,3,3,6,1,5,8,8,6,17,14,12,17,22,15,20,17,13,16,18,10,8,11,5,9,7,14,6,3,5,5,7,1,5,0,2,6,7,0,12,6,5,4,13,3,5,6,5,4,0,5,6,2,4,3,4,2,0,1,4,2,3,4,2,9,3,5,4,4,1,2,3,0,1,1,0,0,1,1,1
S01006529,,452,,3,4,3,3,2,3,0,4,4,0,5,4,2,4,3,2,2,3,2,5,3,10,9,19,10,17,10,9,15,11,12,3,12,15,11,12,8,1,8,4,8,5,10,7,7,4,4,8,6,4,6,7,9,5,6,7,1,12,1,2,1,6,1,4,9,1,5,3,3,3,9,3,2,4,2,1,3,2,0,3,1,3,0,0,3,0,0,0,1,1,2
